기준년월,기준년도,기준월,시도명,시군구명,행정동_코드_명,행정동_코드,아파트_단지_수,아파트_평균_면적,아파트_평균_시가
2019-10-28,2019,10,서울,강서구,화곡본동,11500590,1160,50,118872243
2019-10-28,2019,10,서울,성북구,종암동,11290705,349,60,197591506
2019-10-28,2019,10,서울,성북구,안암동,11290600,137,56,150623756
2019-10-28,2019,10,서울,서초구,반포2동,11650570,57,116,1810545120
2019-10-28,2019,10,서울,노원구,월계1동,11350560,309,53,136871862
2019-10-28,2019,10,서울,중랑구,망우본동,11260655,267,58,158999812
2019-10-28,2019,10,서울,강남구,일원2동,11680740,48,68,725458289
2019-10-28,2019,10,서울,강남구,압구정동,11680545,181,111,1210630980
2019-10-28,2019,10,서울,마포구,망원1동,11440690,522,48,186695120
2019-10-28,2019,10,서울,강동구,고덕1동,11740550,146,69,447696526
2019-10-28,2019,10,서울,성북구,월곡1동,11290715,170,64,254065315
2019-10-28,2019,10,서울,서초구,반포1동,11650560,281,62,541289955
2019-10-28,2019,10,서울,성북구,돈암2동,11290590,126,80,315652532
2019-10-28,2019,10,서울,중랑구,묵2동,11260630,229,48,151547294
2019-10-28,2019,10,서울,노원구,월계2동,11350570,129,64,210288794
2019-10-28,2019,10,서울,양천구,신정4동,11470650,757,53,144748857
2019-10-28,2019,10,서울,강남구,청담동,11680565,355,106,919279201
2019-10-28,2019,10,서울,서초구,반포본동,11650550,101,106,2146752288
2019-10-28,2019,10,서울,성북구,월곡2동,11290725,117,63,208407162
2019-10-28,2019,10,서울,강서구,화곡3동,11500560,352,63,198251565
2019-10-28,2019,10,서울,양천구,신정6동,11470670,81,97,740040684
2019-10-28,2019,10,서울,중랑구,묵1동,11260620,445,59,176392502
2019-10-28,2019,10,서울,성북구,돈암1동,11290580,85,68,235235256
2019-10-28,2019,10,서울,노원구,월계3동,11350580,104,60,269053386
2019-10-28,2019,10,서울,강서구,화곡4동,11500570,539,50,126522714
2019-10-28,2019,10,서울,마포구,서교동,11440660,511,51,187802822
2019-10-28,2019,10,서울,도봉구,방학3동,11320710,130,71,183046724
2019-10-28,2019,10,서울,강서구,화곡6동,11500591,462,56,150434066
2019-10-28,2019,10,서울,마포구,용강동,11440590,151,66,384996323
2019-10-28,2019,10,서울,도봉구,쌍문4동,11320681,110,63,166201014
2019-10-28,2019,10,서울,성북구,정릉3동,11290640,232,57,130646210
2019-10-28,2019,10,서울,성북구,삼선동,11290555,242,60,184643303
2019-10-28,2019,10,서울,마포구,대흥동,11440600,53,46,226580976
2019-10-28,2019,10,서울,성북구,정릉2동,11290630,433,62,150436083
2019-10-28,2019,10,서울,송파구,오금동,11710570,621,59,245061589
2019-10-28,2019,10,서울,마포구,염리동,11440610,72,64,279788240
2019-10-28,2019,10,서울,송파구,방이2동,11710562,743,52,213761442
2019-10-28,2019,10,서울,성북구,정릉4동,11290650,396,63,160042808
2019-10-28,2019,10,서울,강서구,가양1동,11500603,148,66,322050055
2019-10-28,2019,10,서울,도봉구,방학1동,11320690,315,58,158569726
2019-10-28,2019,10,서울,송파구,송파1동,11710580,805,48,210085490
2019-10-28,2019,10,서울,성북구,성북동,11290525,274,80,251457726
2019-10-28,2019,10,서울,마포구,신수동,11440630,217,59,279808531
2019-10-28,2019,10,서울,성북구,정릉1동,11290620,131,63,198789913
2019-10-28,2019,10,서울,서초구,방배본동,11650590,305,97,574803704
2019-10-28,2019,10,서울,성북구,길음1동,11290660,178,77,379937300
2019-10-28,2019,10,서울,강서구,화곡8동,11500593,816,52,125368579
2019-10-28,2019,10,서울,도봉구,방학2동,11320700,446,50,108518836
2019-10-28,2019,10,서울,중랑구,신내2동,11260690,77,68,257420070
2019-10-28,2019,10,서울,강동구,천호3동,11740620,222,52,211370570
2019-10-28,2019,10,서울,강남구,논현1동,11680521,486,66,353132222
2019-10-28,2019,10,서울,마포구,서강동,11440655,321,57,282236207
2019-10-28,2019,10,서울,서초구,반포4동,11650581,365,121,643229652
2019-10-28,2019,10,서울,중랑구,신내1동,11260680,187,64,215840048
2019-10-28,2019,10,서울,성북구,길음2동,11290685,46,73,282068092
2019-10-28,2019,10,서울,성북구,보문동,11290610,143,56,201345097
2019-10-28,2019,10,서울,강동구,성내3동,11740660,456,56,190814540
2019-10-28,2019,10,서울,서초구,잠원동,11650540,179,83,773147823
2019-10-28,2019,10,서울,영등포구,도림동,11560585,140,55,169172356
2019-10-28,2019,10,서울,양천구,신정7동,11470680,112,70,377068096
2019-10-28,2019,10,서울,양천구,신정3동,11470640,340,66,240510701
2019-10-28,2019,10,서울,구로구,개봉2동,11530750,469,59,165640411
2019-10-28,2019,10,서울,강동구,고덕2동,11740560,49,45,151773607
2019-10-28,2019,10,서울,중랑구,면목7동,11260570,183,58,166254878
2019-10-28,2019,10,서울,서초구,방배4동,11650621,563,81,472130924
2019-10-28,2019,10,서울,양천구,신월5동,11470600,296,54,126121554
2019-10-28,2019,10,서울,중구,동화동,11140665,62,82,410344824
2019-10-28,2019,10,서울,송파구,풍납2동,11710520,208,55,226691560
2019-10-28,2019,10,서울,강북구,미아동,11305535,438,48,116814076
2019-10-28,2019,10,서울,강남구,일원1동,11680730,180,55,310292322
2019-10-28,2019,10,서울,노원구,중계본동,11350619,192,70,222324608
2019-10-28,2019,10,서울,구로구,개봉1동,11530740,399,55,144089813
2019-10-28,2019,10,서울,송파구,거여1동,11710531,170,51,193017393
2019-10-28,2019,10,서울,중랑구,면목본동,11260565,465,48,144860479
2019-10-28,2019,10,서울,노원구,하계2동,11350612,55,78,318489311
2019-10-28,2019,10,서울,서초구,양재1동,11650651,474,82,449760042
2019-10-28,2019,10,서울,강북구,송중동,11305545,498,53,129852475
2019-10-28,2019,10,서울,중구,신당5동,11140650,59,60,274164868
2019-10-28,2019,10,서울,중랑구,면목5동,11260550,148,51,137402406
2019-10-28,2019,10,서울,노원구,중계1동,11350621,79,79,396727534
2019-10-28,2019,10,서울,구로구,고척2동,11530730,267,57,161051361
2019-10-28,2019,10,서울,서초구,양재2동,11650652,504,57,270104671
2019-10-28,2019,10,서울,송파구,거여2동,11710532,130,61,283531021
2019-10-28,2019,10,서울,강동구,성내2동,11740650,325,48,178208411
2019-10-28,2019,10,서울,강북구,송천동,11305555,367,51,153552735
2019-10-28,2019,10,서울,양천구,신월3동,11470580,230,46,102305214
2019-10-28,2019,10,서울,송파구,삼전동,11710610,1112,48,193230020
2019-10-28,2019,10,서울,구로구,고척1동,11530720,182,60,180394303
2019-10-28,2019,10,서울,중구,청구동,11140645,84,64,294228809
2019-10-28,2019,10,서울,양천구,신월4동,11470590,275,57,151105182
2019-10-28,2019,10,서울,강북구,삼양동,11305534,427,54,138061642
2019-10-28,2019,10,서울,강남구,대치2동,11680610,300,78,667421066
2019-10-28,2019,10,서울,양천구,신월6동,11470610,107,52,125507841
2019-10-28,2019,10,서울,강남구,삼성1동,11680580,206,97,808222348
2019-10-28,2019,10,서울,중랑구,중화2동,11260610,253,48,149665490
2019-10-28,2019,10,서울,양천구,신정2동,11470630,95,66,315772088
2019-10-28,2019,10,서울,노원구,공릉1동,11350595,434,52,146999271
2019-10-28,2019,10,서울,강서구,화곡1동,11500540,1203,50,127461680
2019-10-28,2019,10,서울,강서구,염창동,11500510,247,69,315712217
2019-10-28,2019,10,서울,성북구,동선동,11290575,192,52,141683917
2019-10-28,2019,10,서울,성북구,장위2동,11290770,217,58,148893928
2019-10-28,2019,10,서울,중랑구,중화1동,11260600,259,55,152603722
2019-10-28,2019,10,서울,강남구,삼성2동,11680590,407,65,457688181
2019-10-28,2019,10,서울,강서구,등촌3동,11500535,124,57,272440093
2019-10-28,2019,10,서울,강서구,등촌1동,11500520,189,54,194077010
2019-10-28,2019,10,서울,양천구,신정1동,11470620,113,85,605501893
2019-10-28,2019,10,서울,노원구,공릉2동,11350600,280,65,221426350
2019-10-28,2019,10,서울,성북구,장위3동,11290780,92,60,201253297
