날짜,한국,미국,중국,일본,독일,인도,영국,프랑스,캐나다,이탈리아,브라질,오스트레일리아,인도네시아,스위스,스웨덴,노르웨이,남아프리카 공화국,덴마크,뉴질랜드
2019-05-01,1.83,2.4,3.28,-0.1,-0.13,7.33,1.13,0.3,1.66,2.64,6.26,1.66,7.88,-0.45,0.22,1.66,9.1,0.04,1.79
2019-06-01,1.62,2.07,3.23,-0.17,-0.32,6.97,0.92,0.08,1.46,2.28,6.26,1.39,7.33,-0.48,0.05,1.43,9.03,-0.22,1.63
2019-07-01,1.51,2.06,3.16,-0.16,-0.39,6.6,0.83,-0.07,1.52,1.65,5.95,1.32,7.35,-0.65,0.02,1.44,8.78,-0.31,1.55
2019-08-01,1.25,1.63,3.06,-0.28,-0.65,6.62,0.58,-0.34,1.21,1.4,5.95,0.96,7.3,-0.98,-0.29,1.15,9.03,-0.58,1.13
2019-09-01,1.42,1.7,3.14,-0.22,-0.59,6.81,0.6,-0.28,1.36,0.9,5.95,1.04,7.27,-0.7,-0.23,1.21,8.89,-0.59,1.16
2019-10-01,1.58,1.71,3.29,-0.15,-0.47,6.54,0.64,-0.16,1.45,1,5.57,1.04,6.98,-0.51,-0.16,1.26,8.93,-0.43,1.16
2019-11-01,1.75,1.81,3.17,-0.08,-0.35,6.63,0.77,-0.02,1.5,1.27,5.57,1.15,7.06,-0.58,0,1.45,9.13,-0.31,1.35
2019-12-01,1.65,1.86,3.14,-0.03,-0.3,6.85,0.83,0.04,1.6,1.37,5.57,1.2,7.07,-0.46,0.07,1.47,9.12,-0.26,1.53
2020-01-01,1.66,1.76,2.99,-0.07,-0.31,6.82,0.72,-0.01,1.49,1.28,5.09,1.16,6.66,-0.7,0.11,1.39,9.02,-0.26,1.48
2020-02-01,1.54,1.5,2.74,-0.16,-0.47,6.66,0.63,-0.18,1.29,0.96,5.09,0.98,6.87,-0.83,-0.05,1.35,8.94,-0.41,1.28
2020-03-01,1.49,0.87,2.59,0.01,-0.54,6.7,0.46,-0.06,0.82,1.55,5.09,0.88,7.87,-0.37,-0.17,0.93,10.85,-0.41,1.08
2020-04-01,1.5,0.66,2.54,-0.04,-0.45,6.77,0.36,0.06,0.66,1.8,4.94,0.85,7.82,-0.49,-0.07,0.7,11.23,-0.21,0.95
