날짜,한국,미국,중국,일본,독일,인도,영국,프랑스,캐나다,이탈리아,오스트레일리아,멕시코,인도네시아,스위스,스웨덴,노르웨이,남아프리카 공화국,덴마크,뉴질랜드
2020-06-01,0.79,0.2,2.54,-0.04,-0.38,3.31,0.19,-0.38,0.31,-0.38,0.1,5.64,4.81,-0.67,-0.08,0.34,4.1,-0.17,0.28
2020-07-01,0.79,0.18,2.76,-0.07,-0.44,3.22,0.1,-0.44,0.28,-0.44,0.1,5.2,4.53,-0.69,-0.08,0.32,3.95,-0.19,0.3
2020-08-01,0.68,0.15,2.97,-0.07,-0.48,3.23,0.07,-0.48,0.26,-0.48,0.1,4.95,4.34,-0.71,-0.12,0.25,3.69,-0.21,0.29
2020-09-01,0.63,0.13,2.99,-0.06,-0.49,3.28,0.06,-0.49,0.25,-0.49,0.09,4.71,4.31,-0.71,-0.13,0.27,3.45,-0.23,0.3
2020-10-01,0.63,0.12,3.18,-0.06,-0.51,3.25,0.05,-0.51,0.25,-0.51,0.07,4.53,4.3,-0.7,-0.13,0.33,3.47,-0.22,0.27
2020-11-01,0.66,0.16,3.56,-0.06,-0.52,3.06,0.04,-0.52,0.24,-0.52,0.02,4.49,4.22,-0.73,-0.12,0.36,3.59,-0.23,0.27
2020-12-01,0.66,0.17,3.33,-0.06,-0.54,3.1,0.03,-0.54,0.24,-0.54,0.02,4.48,4.06,-0.74,-0.18,0.49,3.76,-0.22,0.26
2021-01-01,0.68,0.14,3.01,-0.06,-0.55,3.21,0.03,-0.55,0.2,-0.55,0.01,4.44,4.05,-0.73,-0.15,0.48,3.81,-0.24,0.28
2021-02-01,0.73,0.11,3.25,-0.06,-0.54,3.26,0.05,-0.54,0.18,-0.54,0.01,4.33,3.96,-0.73,-0.13,0.45,3.77,-0.23,0.28
2021-03-01,0.75,0.1,3.07,-0.07,-0.54,3.27,0.08,-0.54,0.19,-0.54,0.03,4.24,3.76,-0.73,-0.16,0.38,3.82,-0.21,0.33
2021-04-01,0.74,0.11,2.82,-0.07,-0.54,3.33,0.09,-0.54,0.18,-0.54,0.04,4.25,3.75,-0.73,-0.15,0.3,3.77,-0.21,0.34
2021-05-01,0.68,0.1,2.84,-0.07,-0.54,3.37,0.08,-0.54,0.18,-0.54,0.04,4.26,3.75,-0.74,-0.15,0.24,3.61,-0.21,0.35
2021-06-01,0.66,0.09,2.93,-0.07,-0.54,3.44,0.08,-0.54,0.19,-0.54,0.03,4.31,3.75,-0.74,-0.16,0.2,3.76,-0.21,0.33
